edge_bin,samples,wins,win_rate,avg_edge,min_edge,max_edge,error_margin,conf_lower,conf_upper,expected_value
"[0, 1)",135,64,0.4740740740740741,0.46959945798453817,0.029661039027503833,0.9895749373227423,0.0842315087783459,0.3898425652957282,0.5583055828524199,-0.09451851851851845
"[1, 2)",131,57,0.4351145038167939,1.490338744817274,1.0045156726272708,1.9640067607459495,0.08489896886391528,0.3502155349528786,0.5200134726807092,-0.1689312977099237
"[2, 3)",95,42,0.4421052631578947,2.4814623796251243,2.001400875060299,2.9895285307591224,0.09986958459024604,0.3422356785676487,0.5419748477481408,-0.15557894736842098
"[3, 4)",79,36,0.45569620253164556,3.511042859867741,3.0019595359705127,3.998337312029948,0.1098249243017197,0.34587127822992586,0.5655211268333653,-0.129620253164557
"[4, 5)",63,31,0.49206349206349204,4.4406564653736,4.021795055654968,4.954576926957315,0.12345283944296095,0.36861065262053105,0.615516331506453,-0.060158730158730134
"[5, 6)",45,21,0.4666666666666667,5.533426222426557,5.026343212013362,5.996049070786881,0.14576476906727004,0.32090189759939663,0.6124314357339367,-0.10866666666666663
"[6, 7)",20,13,0.65,6.543220663461329,6.013462534255758,6.969325997028003,0.2090411442754751,0.4409588557245249,0.8590411442754751,0.24150000000000005
"[7, 8)",19,12,0.631578947368421,7.447923648047856,7.038273991892657,7.874926639670622,0.21690287721140628,0.41467607015701474,0.8484818245798273,0.20631578947368412
"[8, 9)",8,6,0.75,8.363368116801304,8.052817193536283,8.795094151511108,0.3000624934909393,0.4499375065090607,1.0,0.4325
"[9, 10)",5,2,0.4,9.389799714069325,9.052638370079785,9.782206604492412,0.4294144850840502,0.0,0.8294144850840502,-0.23599999999999993
"[10, 15)",2,1,0.5,11.499906368978818,10.476172765512928,12.523639972444709,0.6929646455628166,0.0,1.0,-0.044999999999999984
"[15, 20)",0,0,,,,,,,,
